word,stem,suffix,freq
$.027,$,.027,11
$.03,$,.03,11
$.054/mbf,$,.054/mbf,11
$.07,$,.07,11
$.07/cwt,$,.07/cwt,11
$.076,$,.076,11
$.09,$,.09,11
$.105,$,.105,11
$.12,$,.12,11
$.30,$,.30,11
$.30/mbf,$,.30/mbf,11
$.50,$,.50,11
$.65,$,.65,11
$.75,$,.75,11
$.80,$,.80,11
$.86,$,.86,11
$.90,$,.90,11
$0.9,$,0.9,11
"$1,000",$1,",000",12
"$1,000,000",$1,",000,000",12
"$1,000,000,000",$1,",000,000,000",12
"$1,200",$1,",200",12
"$1,250,000",$1,",250,000",12
"$1,276",$1,",276",12
"$1,390",$1,",390",12
"$1,450,000,000",$1,",450,000,000",12
"$1,500",$1,",500",12
"$1,500,000",$1,",500,000",12
"$1,600",$1,",600",12
"$1,750,000",$1,",750,000",12
"$1,800",$1,",800",12
"$1,961,000",$1,",961,000",12
$1.0,$1,.0,12
$1.00,$1,.00,12
$1.1,$1,.1,12
$1.10,$1,.10,12
$1.26,$1,.26,12
$1.4,$1,.4,12
$1.5,$1,.5,12
$1.6,$1,.6,12
$1.60,$1,.60,12
$1.65,$1,.65,12
$1.7,$1,.7,12
$1.8,$1,.8,12
$1.80,$1,.80,12
$1.9,$1,.9,12
$10,$1,0,12
"$10,000",$1,"0,000",12
"$10,000,000",$1,"0,000,000",12
$10.00,$1,0.00,12
$10.1,$1,0.1,12
$10.3,$1,0.3,12
$10.50,$1,0.50,12
$10.8,$1,0.8,12
$100,$1,00,12
"$100,000",$1,"00,000",12
"$102,285,000",$1,"02,285,000",12
$1020,$1,020,12
$109,$1,09,12
$11,$1,1,12
"$11,900,000",$1,"1,900,000",12
$11.50,$1,1.50,12
$110,$1,10,12
"$115,000",$1,"15,000",12
$12,$1,2,12
"$12,192,865",$1,"2,192,865",12
"$12,500",$1,"2,500",12
$12.00,$1,2.00,12
$12.1,$1,2.1,12
$12.50,$1,2.50,12
$12.7,$1,2.7,12
$120,$1,20,12
$125,$1,25,12
$128,$1,28,12
$133,$1,33,12
$135,$1,35,12
$139.3,$1,39.3,12
$14,$1,4,12
"$14,000",$1,"4,000",12
$14.00,$1,4.00,12
$140,$1,40,12
$148.50,$1,48.50,12
$15,$1,5,12
"$15,000",$1,"5,000",12
"$15,000,000",$1,"5,000,000",12
$15.5,$1,5.5,12
$150,$1,50,12
$1500,$1,500,12
"$157,460",$1,"57,460",12
$16,$1,6,12
"$16,000",$1,"6,000",12
$16.00,$1,6.00,12
$16.80,$1,6.80,12
$165,$1,65,12
$17,$1,7,12
"$17,000",$1,"7,000",12
"$17,000,000",$1,"7,000,000",12
$17.8,$1,7.8,12
$170,$1,70,12
"$172,000",$1,"72,000",12
"$172,400",$1,"72,400",12
$18,$1,8,12
$18.2,$1,8.2,12
$18.9,$1,8.9,12
$184,$1,84,12
$185,$1,85,12
$187,$1,87,12
$19.3,$1,9.3,12
"$2,000",$2,",000",12
"$2,000,000",$2,",000,000",12
"$2,170",$2,",170",12
"$2,300",$2,",300",12
"$2,300,000",$2,",300,000",12
"$2,323,867",$2,",323,867",12
"$2,330,000",$2,",330,000",12
"$2,412,616",$2,",412,616",12
"$2,461,000",$2,",461,000",12
"$2,490",$2,",490",12
"$2,500",$2,",500",12
"$2,557,111",$2,",557,111",12
"$2,700",$2,",700",12
$2.00,$2,.00,12
$2.09,$2,.09,12
$2.30/mbf,$2,.30/mbf,12
$2.50,$2,.50,12
$2.80,$2,.80,12
$2.82,$2,.82,12
$2.98,$2,.98,12
$20,$2,0,12
"$20,000",$2,"0,000",12
"$20,000,000",$2,"0,000,000",12
"$20,000,000,000",$2,"0,000,000,000",12
"$20,447,000",$2,"0,447,000",12
$200,$2,00,12
"$200,000",$2,"00,000",12
"$200,000,000",$2,"00,000,000",12
$214,$2,14,12
$22,$2,2,12
$22.50,$2,2.50,12
$222,$2,22,12
$227.72,$2,27.72,12
"$23,000,000",$2,"3,000,000",12
"$230,000",$2,"30,000",12
"$24,926,615",$2,"4,926,615",12
$2400,$2,400,12
$25,$2,5,12
"$25,000",$2,"5,000",12
$250,$2,50,12
"$250,000",$2,"50,000",12
$2500,$2,500,12
$251,$2,51,12
"$253,355,000",$2,"53,355,000",12
"$26,000,000",$2,"6,000,000",12
$27.50,$2,7.50,12
"$278,877,000",$2,"78,877,000",12
$28,$2,8,12
"$28,700,000",$2,"8,700,000",12
$28.00,$2,8.00,12
$29,$2,9,12
"$29,000",$2,"9,000",12
$297,$2,97,12
"$3,000",$,"3,000",11
"$3,500",$,"3,500",11
"$3,500,000",$,"3,500,000",11
"$3,675",$,"3,675",11
"$3,825",$,"3,825",11
$3.00,$,3.00,11
$3.11,$,3.11,11
$3.15,$,3.15,11
$3.22,$,3.22,11
$3.5,$,3.5,11
$3.50,$,3.50,11
$30,$,30,11
"$30,000",$,"30,000",11
"$30,000,000",$,"30,000,000",11
$300,$,300,11
"$300,000",$,"300,000",11
"$300,000,000",$,"300,000,000",11
$306,$,306,11
"$31,179,816",$,"31,179,816",11
$310,$,310,11
$3100,$,3100,11
"$32,000",$,"32,000",11
$325,$,325,11
"$344,000",$,"344,000",11
$35,$,35,11
"$35,823",$,"35,823",11
$350,$,350,11
"$350,000",$,"350,000",11
$36,$,36,11
$37,$,37,11
"$37,500",$,"37,500",11
$380,$,380,11
"$39,000",$,"39,000",11
$39.5,$,39.5,11
"$395,000",$,"395,000",11
"$4,000",$,"4,000",11
"$4,000,000",$,"4,000,000",11
"$4,177.37",$,"4,177.37",11
"$4,500",$,"4,500",11
"$4,500,000",$,"4,500,000",11
"$4,700",$,"4,700",11
"$4,753",$,"4,753",11
"$4,800",$,"4,800",11
$4.9,$,4.9,11
$4.98,$,4.98,11
$4/mbf,$,4/mbf,11
$40,$,40,11
"$40,000",$,"40,000",11
"$40,000,000",$,"40,000,000",11
$400,$,400,11
$4200,$,4200,11
"$43,000",$,"43,000",11
$43.50,$,43.50,11
$45,$,45,11
$450,$,450,11
"$450,000",$,"450,000",11
"$451,500",$,"451,500",11
"$457,000",$,"457,000",11
$46.7,$,46.7,11
"$47,101,000",$,"47,101,000",11
"$5,000",$,"5,000",11
"$5,000,000",$,"5,000,000",11
$5.2,$,5.2,11
$5.4,$,5.4,11
$50,$,50,11
"$50,000",$,"50,000",11
"$50,400,000",$,"50,400,000",11
$500,$,500,11
"$500,000",$,"500,000",11
$5000,$,5000,11
"$52,500",$,"52,500",11
$538,$,538,11
"$55,000",$,"55,000",11
$550,$,550,11
$56,$,56,11
"$57,500",$,"57,500",11
"$58,918",$,"58,918",11
$580,$,580,11
$581,$,581,11
"$581,000",$,"581,000",11
"$590,000",$,"590,000",11
"$6,100,000,000",$,"6,100,000,000",11
"$6,666.66",$,"6,666.66",11
$60,$,60,11
"$60,000",$,"60,000",11
$600,$,600,11
$610,$,610,11
"$625,561",$,"625,561",11
$63.8,$,63.8,11
"$634,517,000",$,"634,517,000",11
$639,$,639,11
$65,$,65,11
"$65,000",$,"65,000",11
$650,$,650,11
"$66,000",$,"66,000",11
"$67,000",$,"67,000",11
"$7,000",$,"7,000",11
"$7,000,000",$,"7,000,000",11
"$7,082",$,"7,082",11
"$7,500,000",$,"7,500,000",11
$7.00,$,7.00,11
$7.20,$,7.20,11
$7.50,$,7.50,11
$70,$,70,11
"$70,000",$,"70,000",11
$700,$,700,11
$720,$,720,11
$73.50,$,73.50,11
$740,$,740,11
"$740,000",$,"740,000",11
$75,$,75,11
"$75,000,000",$,"75,000,000",11
$750,$,750,11
"$750,000",$,"750,000",11
$754,$,754,11
"$77,389,000",$,"77,389,000",11
$79.89,$,79.89,11
"$8,250",$,"8,250",11
"$8,313,514",$,"8,313,514",11
"$8,555",$,"8,555",11
$8.00,$,8.00,11
$8.5,$,8.5,11
$8.50,$,8.50,11
$80,$,80,11
"$80,738",$,"80,738",11
$800,$,800,11
"$800,000",$,"800,000",11
$81,$,81,11
"$83,750",$,"83,750",11
"$84,000,000",$,"84,000,000",11
"$840,000",$,"840,000",11
"$842,617",$,"842,617",11
$85,$,85,11
"$85,000",$,"85,000",11
"$88,000",$,"88,000",11
"$9,841,000",$,"9,841,000",11
$9.2,$,9.2,11
$9.50,$,9.50,11
$90,$,90,11
$900,$,900,11
$94,$,94,11
'20's,',20's,9
'20s,',20s,9
'30s,',30s,9
'40's,',40's,9
'50's,',50's,9
'60s,',60s,9
'80's,',80's,9
'90s,',90s,9
'?',',?',9
'thirties,',thirties,9
**b,**,b,3
**ya,**y,a,12
**yb,**y,b,12
**yc,**y,c,12
**ye,**y,e,12
**yf,**y,f,12
**yg,**y,g,12
**yj,**y,j,12
**yl,**y,l,12
**ym,**y,m,12
**ymg,**y,mg,12
**yp,**y,p,12
**yr,**y,r,12
**yt,**y,t,12
**zg,**,zg,3
**zq,**,zq,3
/l/,/,l/,2
/r/,/,r/,2
0.002'',0.,002'',4
0.3m,0.,3m,4
0.5'',0.,5'',4
0.85%,0.,85%,4
1'',1,'',12
1.25%,1,.25%,12
1.8%,1,.8%,12
1/16'',1,/16'',12
1/2'',1,/2'',12
1/4'',1,/4'',12
1/8'',1,/8'',12
10%,1,0%,12
10'',1,0'',12
10.6%,1,0.6%,12
10.8%,1,0.8%,12
100%,1,00%,12
11%,1,1%,12
12%,1,2%,12
12',1,2',12
12'',1,2'',12
129%,1,29%,12
12a,1,2a,12
13%,1,3%,12
14%,1,4%,12
15%,1,5%,12
1700's,1,700's,12
1770's,1,770's,12
18'.5,1,8'.5,12
1800's,1,800's,12
1840's,1,840's,12
1850's,1,850's,12
1860's,1,860's,12
1870's,1,870's,12
1880s,1,880s,12
1890's,1,890's,12
1890s,1,890s,12
1900's,1,900's,12
1920's,1,920's,12
1920s,1,920s,12
1930's,1,930's,12
1930s,1,930s,12
1940's,1,940's,12
1940s,1,940s,12
1950's,1,950's,12
1950s,1,950s,12
1960's,1,960's,12
1960s,1,960s,12
1970s,1,970s,12
2'',2,'',9
2.295%,2,.295%,9
2.325%,2,.325%,9
2.5%,2,.5%,9
20%,2,0%,9
21%,2,1%,9
21/64'',2,1/64'',9
22%,2,2%,9
237%,2,37%,9
24%,2,4%,9
24'',2,4'',9
242%,2,42%,9
25%,2,5%,9
25.1%,2,5.1%,9
27%,2,7%,9
3'',3,'',8
3.25'',3,.25'',8
3.5%,3,.5%,8
3/16'',3,/16'',8
3/64'',3,/64'',8
30%,3,0%,8
30'',3,0'',8
320tr,3,20tr,8
340tr,3,40tr,8
35%,3,5%,8
3mm,3,mm,8
40%,4,0%,6
45%,4,5%,6
450,4,50,6
46%,4,6%,6
47.1%,4,7.1%,6
48'',4,8'',6
49%,4,9%,6
5/16'',5,/16'',4
5/64'',5,/64'',4
50%,5,0%,4
50',5,0',4
57%,5,7%,4
58.8%,5,8.8%,4
6'.7,6,'.7,5
60%,6,0%,5
60's,6,0's,5
61.2%,6,1.2%,5
64%,6,4%,5
65%,6,5%,5
7'',7,'',6
7.6%,7,.6%,6
7/16'',7,/16'',6
70%,7,0%,6
70's,7,0's,6
742c,7,42c,6
75%,7,5%,6
80%,8,0%,3
80's,8,0's,3
85%,8,5%,3
86%,8,6%,3
9/32'',9,/32'',2
90%,9,0%,2
a's,a,'s,28
a/3,a,/3,28
aaa,a,aa,28
aab/,a,ab/,28
abandon,a,bandon,28
abandonment,a,bandonment,28
abaringe,a,baringe,28
abasement,a,basement,28
abberations,a,bberations,28
abbey,a,bbey,28
abbot,a,bbot,28
abbreviation,a,bbreviation,28
abbreviations,a,bbreviations,28
abdomen,a,bdomen,28
abdominis,a,bdominis,28
abduction,a,bduction,28
aberration,a,berration,28
aberrations,a,berrations,28
abeyance,a,beyance,28
abilities,a,bilities,28
ability,a,bility,28
abjection,a,bjection,28
ablation,a,blation,28
abnormalities,a,bnormalities,28
abo,a,bo,28
abode,a,bode,28
abolition,a,bolition,28
abolitionist,a,bolitionist,28
abolitionists,a,bolitionists,28
aborigine,a,borigine,28
aborigines,a,borigines,28
abortion,a,bortion,28
abortions,a,bortions,28
abreaction,a,breaction,28
abridgment,a,bridgment,28
abruptness,a,bruptness,28
abscesses,a,bscesses,28
abscissa,a,bscissa,28
absence,a,bsence,28
absences,a,bsences,28
absentee,a,bsentee,28
absenteeism,a,bsenteeism,28
absentia,a,bsentia,28
absinthe,a,bsinthe,28
absolute,a,bsolute,28
absoluteness,a,bsoluteness,28
absolutes,a,bsolutes,28
absolution,a,bsolution,28
absorbency,a,bsorbency,28
absorber,a,bsorber,28
absorption,a,bsorption,28
absorptions,a,bsorptions,28
abstention,a,bstention,28
abstinence,a,bstinence,28
abstract,a,bstract,28
abstractedness,a,bstractedness,28
abstraction,a,bstraction,28
abstractionism,a,bstractionism,28
abstractionists,a,bstractionists,28
abstractions,a,bstractions,28
abstractors,a,bstractors,28
abstracts,a,bstracts,28
abstrusenesses,a,bstrusenesses,28
absurdities,a,bsurdities,28
absurdity,a,bsurdity,28
abundance,a,bundance,28
abuse,a,buse,28
abuses,a,buses,28
abutments,a,butments,28
abyss,a,byss,28
acacia,a,cacia,28
academeh,a,cademeh,28
academic,a,cademic,28
academics,a,cademics,28
academies,a,cademies,28
academy,a,cademy,28
acceleration,a,cceleration,28
accelerations,a,ccelerations,28
accelerator,a,ccelerator,28
accelerators,a,ccelerators,28
accelerometer,a,ccelerometer,28
accelerometers,a,ccelerometers,28
accent,a,ccent,28
accenting,a,ccenting,28
accents,a,ccents,28
acceptability,a,cceptability,28
acceptance,a,cceptance,28
access,a,ccess,28
accesses,a,ccesses,28
accessibility,a,ccessibility,28
accessions,a,ccessions,28
accessories,a,ccessories,28
accessory,a,ccessory,28
accident,a,ccident,28
accidents,a,ccidents,28
acclaim,a,cclaim,28
acclamation,a,cclamation,28
accolade,a,ccolade,28
accolades,a,ccolades,28
accommodation,a,ccommodation,28
accommodations,a,ccommodations,28
accomodations,a,ccomodations,28
accompaniment,a,ccompaniment,28
accompaniments,a,ccompaniments,28
accompanist,a,ccompanist,28
accompanists,a,ccompanists,28
accomplice,a,ccomplice,28
accomplices,a,ccomplices,28
accomplishment,a,ccomplishment,28
accomplishments,a,ccomplishments,28
accord,a,ccord,28
accordance,a,ccordance,28
accordion,a,ccordion,28
account,a,ccount,28
accountability,a,ccountability,28
accountant,a,ccountant,28
accountants,a,ccountants,28
accounting,a,ccounting,28
accounts,a,ccounts,28
accouterments,a,ccouterments,28
accreditation,a,ccreditation,28
accretion,a,ccretion,28
accretions,a,ccretions,28
acculturation,a,cculturation,28
accumulation,a,ccumulation,28
accuracy,a,ccuracy,28
accusation,a,ccusation,28
accusations,a,ccusations,28
ace,a,ce,28
aces,a,ces,28
acetate,a,cetate,28
acetone,a,cetone,28
acetonemia,a,cetonemia,28
ache,a,che,28
achievement,a,chievement,28
achievements,a,chievements,28
acid,a,cid,28
acidity,a,cidity,28
acids,a,cids,28
acknowledgement,a,cknowledgement,28
acknowledgment,a,cknowledgment,28
acknowledgments,a,cknowledgments,28
acolyte,a,colyte,28
aconte,a,conte,28
acorns,a,corns,28
acoustics,a,coustics,28
acquaintance,a,cquaintance,28
acquiescence,a,cquiescence,28
acquiesence,a,cquiesence,28
acquisition,a,cquisition,28
acquisitions,a,cquisitions,28
acquisitiveness,a,cquisitiveness,28
acquittal,a,cquittal,28
acre,a,cre,28
acreage,a,creage,28
acres,a,cres,28
acrobacy,a,crobacy,28
acrobatics,a,crobatics,28
acrobats,a,crobats,28
acrylic,a,crylic,28
act,a,ct,28
acting,a,cting,28
actinometer,a,ctinometer,28
action,a,ction,28
actions,a,ctions,28
activation,a,ctivation,28
active,a,ctive,28
actives,a,ctives,28
activism,a,ctivism,28
activities,a,ctivities,28
activity,a,ctivity,28
actor,a,ctor,28
actors,a,ctors,28
actress,a,ctress,28
actresses,a,ctresses,28
acts,a,cts,28
actualities,a,ctualities,28
actuality,a,ctuality,28
acumen,a,cumen,28
adage,a,dage,28
adagio,a,dagio,28
adagios,a,dagios,28
adaptation,a,daptation,28
adaptations,a,daptations,28
adapter,a,dapter,28
adapters,a,dapters,28
adapting,a,dapting,28
adc,a,dc,28
addiction,a,ddiction,28
addicts,a,ddicts,28
adding,a,dding,28
addition,a,ddition,28
additions,a,dditions,28
additive,a,dditive,28
additives,a,dditives,28
address,a,ddress,28
addressees,a,ddressees,28
addresses,a,ddresses,28
adenomas,a,denomas,28
adequacy,a,dequacy,28
adherence,a,dherence,28
adherent,a,dherent,28
adherents,a,dherents,28
adhesion,a,dhesion,28
adhesive,a,dhesive,28
adhesives,a,dhesives,28
adjective,a,djective,28
adjectives,a,djectives,28
adjournment,a,djournment,28
adjudication,a,djudication,28
adjunct,a,djunct,28
adjuncts,a,djuncts,28
adjustment,a,djustment,28
adjustments,a,djustments,28
administration,a,dministration,28
administrator,a,dministrator,28
administrators,a,dministrators,28
adminstration,a,dminstration,28
admirals,a,dmirals,28
admiralty,a,dmiralty,28
admiration,a,dmiration,28
admirer,a,dmirer,28
admirers,a,dmirers,28
admission,a,dmission,28
admissions,a,dmissions,28
admittance,a,dmittance,28
admonishments,a,dmonishments,28
admonition,a,dmonition,28
admonitions,a,dmonitions,28
adobe,a,dobe,28
adolescence,a,dolescence,28
adolescent,a,dolescent,28
adolescents,a,dolescents,28
adoption,a,doption,28
adrenal,a,drenal,28
adroitness,a,droitness,28
ads,a,ds,28
adulation,a,dulation,28
adult,a,dult,28
adulterers,a,dulterers,28
adultery,a,dultery,28
adulthood,a,dulthood,28
adults,a,dults,28
advance,a,dvance,28
advancement,a,dvancement,28
advancements,a,dvancements,28
advances,a,dvances,28
advantage,a,dvantage,28
advantages,a,dvantages,28
advent,a,dvent,28
adventure,a,dventure,28
adventurers,a,dventurers,28
adventures,a,dventures,28
adverb,a,dverb,28
adverbs,a,dverbs,28
adversaries,a,dversaries,28
adversary,a,dversary,28
adversity,a,dversity,28
advertisement,a,dvertisement,28
advertisements,a,dvertisements,28
advertisers,a,dvertisers,28
advertising,a,dvertising,28
advice,a,dvice,28
advisability,a,dvisability,28
advisement,a,dvisement,28
adviser,a,dviser,28
advisers,a,dvisers,28
advisor,a,dvisor,28
advisors,a,dvisors,28
advisory,a,dvisory,28
advocacy,a,dvocacy,28
advocate,a,dvocate,28
advocates,a,dvocates,28
aec,a,ec,28
aec's,a,ec's,28
aegis,a,egis,28
aeon,a,eon,28
aeration,a,eration,28
aerator,a,erator,28
aerials,a,erials,28
aerosol,a,erosol,28
aerosols,a,erosols,28
aesthetes,a,esthetes,28
aesthetic,a,esthetic,28
aesthetics,a,esthetics,28
affair,a,ffair,28
affairs,a,ffairs,28
affect,a,ffect,28
affectation,a,ffectation,28
affection,a,ffection,28
affections,a,ffections,28
affects,a,ffects,28
affidavits,a,ffidavits,28
affiliates,a,ffiliates,28
affiliation,a,ffiliation,28
affiliations,a,ffiliations,28
affinities,a,ffinities,28
affinity,a,ffinity,28
affirmation,a,ffirmation,28
affirmations,a,ffirmations,28
affliction,a,ffliction,28
afflictions,a,fflictions,28
affluence,a,ffluence,28
affront,a,ffront,28
afghan,a,fghan,28
aficionado,a,ficionado,28
aftermath,a,ftermath,28
afternoon,a,fternoon,28
afternoons,a,fternoons,28
agates,a,gates,28
age,a,ge,28
agencies,a,gencies,28
agency,a,gency,28
agenda,a,genda,28
agent,a,gent,28
agents,a,gents,28
ages,a,ges,28
agglomeration,a,gglomeration,28
agglutination,a,gglutination,28
agglutinin,a,gglutinin,28
agglutinins,a,gglutinins,28
aggregate,a,ggregate,28
aggregation,a,ggregation,28
aggregations,a,ggregations,28
aggression,a,ggression,28
aggressions,a,ggressions,28
aggressiveness,a,ggressiveness,28
aggressor,a,ggressor,28
agility,a,gility,28
agitation,a,gitation,28
agitator,a,gitator,28
agitators,a,gitators,28
agnomen,a,gnomen,28
agnostics,a,gnostics,28
agonies,a,gonies,28
agony,a,gony,28
agrarian,a,grarian,28
agreeableness,a,greeableness,28
agreement,a,greement,28
agreements,a,greements,28
agriculture,a,griculture,28
ague,a,gue,28
ah6,a,h6,28
aia,a,ia,28
aiche,a,iche,28
aid,a,id,28
aid's,a,id's,28
aide,a,ide,28
aides,a,ides,28
aids,a,ids,28
aiee,a,iee,28
ailerons,a,ilerons,28
ailment,a,ilment,28
ailments,a,ilments,28
aim,a,im,28
aimo,a,imo,28
aims,a,ims,28
air,a,ir,28
aircraft,a,ircraft,28
airdrops,a,irdrops,28
airfield,a,irfield,28
airfields,a,irfields,28
airflow,a,irflow,28
airframe,a,irframe,28
airlift,a,irlift,28
airline,a,irline,28
airlines,a,irlines,28
airlock,a,irlock,28
airmail,a,irmail,28
airmen,a,irmen,28
airplane,a,irplane,28
airplanes,a,irplanes,28
airport,a,irport,28
airports,a,irports,28
airs,a,irs,28
airspeed,a,irspeed,28
airstrip,a,irstrip,28
airstrips,a,irstrips,28
airways,a,irways,28
aisle,a,isle,28
aja,a,ja,28
ajb,a,jb,28
aku,a,ku,28
alabaster,a,labaster,28
alarm,a,larm,28
alarms,a,larms,28
album,a,lbum,28
albumin,a,lbumin,28
albums,a,lbums,28
alchemy,a,lchemy,28
alcohol,a,lcohol,28
alcoholics,a,lcoholics,28
alcoholism,a,lcoholism,28
alcohols,a,lcohols,28
alcoves,a,lcoves,28
alderman,a,lderman,28
aldermen,a,ldermen,28
ale,a,le,28
aleck,a,leck,28
alert,a,lert,28
alertness,a,lertness,28
alfresco,a,lfresco,28
algae,a,lgae,28
algaecide,a,lgaecide,28
algebra,a,lgebra,28
alginates,a,lginates,28
algorithm,a,lgorithm,28
alias,a,lias,28
alibi,a,libi,28
alibis,a,libis,28
alien,a,lien,28
alienation,a,lienation,28
aliens,a,liens,28
alignment,a,lignment,28
alignments,a,lignments,28
alimony,a,limony,28
aliquots,a,liquots,28
alizarin,a,lizarin,28
alkali,a,lkali,28
alkalis,a,lkalis,28
alkaloids,a,lkaloids,28
alkylbenzenesulfonates,a,lkylbenzenesulfonates,28
allay,a,llay,28
allegations,a,llegations,28
allegiance,a,llegiance,28
allegiances,a,llegiances,28
allegory,a,llegory,28
allergies,a,llergies,28
allergy,a,llergy,28
alleviation,a,lleviation,28
alley,a,lley,28
alleys,a,lleys,28
alleyways,a,lleyways,28
alliance,a,lliance,28
alliances,a,lliances,28
allies,a,llies,28
alligator,a,lligator,28
alliteration,a,lliteration,28
allocation,a,llocation,28
allocations,a,llocations,28
allotment,a,llotment,28
allotments,a,llotments,28
allowance,a,llowance,28
allowances,a,llowances,28
alloy,a,lloy,28
alloys,a,lloys,28
allure,a,llure,28
