word,stem,suffix,freq
$.027,7,$.02,8
$.03,3,$.0,6
$.054/mbf,f,$.054/mb,14
$.07,7,$.0,8
$.07/cwt,t,$.07/cw,20
$.076,6,$.07,10
$.09,9,$.0,5
$.105,5,$.10,10
$.12,2,$.1,5
$.30,0,$.3,11
$.30/mbf,f,$.30/mb,14
$.50,0,$.5,11
$.65,5,$.6,10
$.75,5,$.7,10
$.80,0,$.8,11
$.86,6,$.8,10
$.90,0,$.9,11
$0.9,9,$0.,5
"$1,000",0,"$1,00",11
"$1,000,000",0,"$1,000,00",11
"$1,000,000,000",0,"$1,000,000,00",11
"$1,200",0,"$1,20",11
"$1,250,000",0,"$1,250,00",11
"$1,276",6,"$1,27",10
"$1,390",0,"$1,39",11
"$1,450,000,000",0,"$1,450,000,00",11
"$1,500",0,"$1,50",11
"$1,500,000",0,"$1,500,00",11
"$1,600",0,"$1,60",11
"$1,750,000",0,"$1,750,00",11
"$1,800",0,"$1,80",11
"$1,961,000",0,"$1,961,00",11
$1.0,0,$1.,11
$1.00,0,$1.0,11
$1.1,1,$1.,5
$1.10,0,$1.1,11
$1.26,6,$1.2,10
$1.4,4,$1.,5
$1.5,5,$1.,10
$1.6,6,$1.,10
$1.60,0,$1.6,11
$1.65,5,$1.6,10
$1.7,7,$1.,8
$1.8,8,$1.,5
$1.80,0,$1.8,11
$1.9,9,$1.,5
$10,0,$1,11
"$10,000",0,"$10,00",11
"$10,000,000",0,"$10,000,00",11
$10.00,0,$10.0,11
$10.1,1,$10.,5
$10.3,3,$10.,6
$10.50,0,$10.5,11
$10.8,8,$10.,5
$100,0,$10,11
"$100,000",0,"$100,00",11
"$102,285,000",0,"$102,285,00",11
$1020,0,$102,11
$109,9,$10,5
$11,1,$1,5
"$11,900,000",0,"$11,900,00",11
$11.50,0,$11.5,11
$110,0,$11,11
"$115,000",0,"$115,00",11
$12,2,$1,5
"$12,192,865",5,"$12,192,86",10
"$12,500",0,"$12,50",11
$12.00,0,$12.0,11
$12.1,1,$12.,5
$12.50,0,$12.5,11
$12.7,7,$12.,8
$120,0,$12,11
$125,5,$12,10
$128,8,$12,5
$133,3,$13,6
$135,5,$13,10
$139.3,3,$139.,6
$14,4,$1,5
"$14,000",0,"$14,00",11
$14.00,0,$14.0,11
$140,0,$14,11
$148.50,0,$148.5,11
$15,5,$1,10
"$15,000",0,"$15,00",11
"$15,000,000",0,"$15,000,00",11
$15.5,5,$15.,10
$150,0,$15,11
$1500,0,$150,11
"$157,460",0,"$157,46",11
$16,6,$1,10
"$16,000",0,"$16,00",11
$16.00,0,$16.0,11
$16.80,0,$16.8,11
$165,5,$16,10
$17,7,$1,8
"$17,000",0,"$17,00",11
"$17,000,000",0,"$17,000,00",11
$17.8,8,$17.,5
$170,0,$17,11
"$172,000",0,"$172,00",11
"$172,400",0,"$172,40",11
$18,8,$1,5
$18.2,2,$18.,5
$18.9,9,$18.,5
$184,4,$18,5
$185,5,$18,10
$187,7,$18,8
$19.3,3,$19.,6
"$2,000",0,"$2,00",11
"$2,000,000",0,"$2,000,00",11
"$2,170",0,"$2,17",11
"$2,300",0,"$2,30",11
"$2,300,000",0,"$2,300,00",11
"$2,323,867",7,"$2,323,86",8
"$2,330,000",0,"$2,330,00",11
"$2,412,616",6,"$2,412,61",10
"$2,461,000",0,"$2,461,00",11
"$2,490",0,"$2,49",11
"$2,500",0,"$2,50",11
"$2,557,111",1,"$2,557,11",5
"$2,700",0,"$2,70",11
$2.00,0,$2.0,11
$2.09,9,$2.0,5
$2.30/mbf,f,$2.30/mb,14
$2.50,0,$2.5,11
$2.80,0,$2.8,11
$2.82,2,$2.8,5
$2.98,8,$2.9,5
$20,0,$2,11
"$20,000",0,"$20,00",11
"$20,000,000",0,"$20,000,00",11
"$20,000,000,000",0,"$20,000,000,00",11
"$20,447,000",0,"$20,447,00",11
$200,0,$20,11
"$200,000",0,"$200,00",11
"$200,000,000",0,"$200,000,00",11
$214,4,$21,5
$22,2,$2,5
$22.50,0,$22.5,11
$222,2,$22,5
$227.72,2,$227.7,5
"$23,000,000",0,"$23,000,00",11
"$230,000",0,"$230,00",11
